NombreHotel,TipoTarifa,TipoHabitación,Precio,Impuesto,Ciudad
Shinagawa Prince Hotel (Main Tower),Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",47250,200,Tokio
Shinagawa Prince Hotel (Main Tower),Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",63450,200,Tokio
Shinagawa Prince Hotel (Anex Tower),Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",48600,200,Tokio
Shinagawa Prince Hotel (Anex Tower),Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",75600,200,Tokio
Moxy Tokyo Kinshicho,Precio unico,"Habitación doble, 2 camas individuales, desayuno incluido, 1 habitación para 2 personas",60460,200,Tokio
Grand Nikko Daiba,Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",53096,200,Tokio
Grand Nikko Daiba,Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",76181,200,Tokio
Tenseien Odawara Station Bekkan,Dia de semana,"Doble moderado, con cena y desayuno, 1 habitación para 2 personas",68310,150,Tokio
Tenseien Odawara Station Bekkan,Fin de semana,"Doble moderado, con cena y desayuno, 1 habitación para 2 personas",83160,150,Tokio
Tenseien Odawara Station Bekkan,Dia de semana,"Doble moderado, con cena y desayuno, 1 habitación para 2 personas",68310,150,Hakone
Tenseien Odawara Station Bekkan,Fin de semana,"Doble moderado, con cena y desayuno, 1 habitación para 2 personas",83160,150,Hakone
Fuji View Hotel Kawaguchiko,Precio unico,"Doble moderado, con cena y desayuno, 1 habitación para 2 personas",104490,0,Monte Fuji
Fuji Kawaguchiko Resort,Dia de semana,"Habitación de estilo japonés, con desayuno, 1 habitación para 2 personas",57375,0,Monte Fuji
Fuji Kawaguchiko Resort,Fin de semana,"Habitación de estilo japonés, con desayuno, 1 habitación para 2 personas",78300,0,Monte Fuji
Kofu Kinenbi,Precio unico,"Doble estándar, con desayuno por la noche, 1 habitación para 2 personas",45900,0,Monte Fuji
Kofu Kinenbi,Precio unico,Doble superior o King,70200,0,Monte Fuji
Miyako Kyoto Hachijyo,Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",56700,200,Kioto
Miyako Kyoto Hachijyo,Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",59400,200,Kioto
Candeo Hotels Osaka Nanmba,Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",33615,100,Osaka
Candeo Hotels Osaka Nanmba,Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",38475,100,Osaka
Holiday Inn Express Osaka City Center,Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",40230,200,Osaka
Holiday Inn Express Osaka City Center,Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",55080,200,Osaka
